providerKey,merchantKey,etlCode1,description,active
ethical-superstore-web,ethical-superstore,groceries-and-everyday/ready-meals,Ready meals,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/cheese,Cheese,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/african,African,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/mexican,Mexican,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/mediterannean,Mediterannean,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/chinese-and-japanese,Chinese and japanese,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/indian,Indian,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/world-food/thai-and-indonesian,Thai and indonesian,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/wine-beer-spirits,Wine beer spirits,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/baby-food,Baby food,FALSE
ethical-superstore-web,ethical-superstore,groceries-and-everyday/plastic-free.htm,Groceries and Everyday - Plastic free,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/dish-washing/washing-up-liquid,Washing up liquid,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/dish-washing/dish-washer,Dish washer,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cleaning/kitchen-cleaners,Kitchen cleaners,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cleaning/bathroom-cleaners,Bathroom cleaners,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cleaning/all-purpose-cleaners,All purpose cleaners,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cleaning/glass-cleaners-and-polish,Glass cleaners and polish,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cleaning/floor-cleaners,Floor cleaners,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/laundry/laundry-liquid,Laundry liquid,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/laundry/washing-powder-and-tablets,Washing powder and tablets,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/laundry/fabric-conditioner,Fabric conditioner,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/laundry/stain-removers-and-treatments,Stain removers and treatments,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/laundry/clothes-drying,Clothes drying,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/cloths-and-mops,Cloths and mops,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/bin-bags-and-foils,Bin bags and foils,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/tissues-and-towels,Tissues and towels,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/diy,Diy,FALSE
ethical-superstore-web,ethical-superstore,cleaning-and-household/plastic-free.htm,Cleaning and Household - Plastic free,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/blouses--tunics---camis,Blouses tunics camis,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/knitwear,Knitwear,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/coats---jackets,Coats jackets,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/dresses,Dresses,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/accessories,Accessories,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/lingerie-and-nightwear,Lingerie and nightwear,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/lounge-and-leisurewear,Lounge and leisurewear,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/socks,Socks,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/nightwear,Nightwear,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/trousers,Trousers,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/graphic-t_shirt-and-jumpers,Graphic t_shirt and jumpers,FALSE
ethical-superstore-web,ethical-superstore,fashion/womens/bags,Bags,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/t_shirts,T_shirts,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/shirts,Shirts,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/graphic-tees,Graphic tees,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/trousers-and-shorts,Trousers and shorts,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/jackets-and-jumpers,Jackets and jumpers,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/underwear,Underwear,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/socks,Socks,FALSE
ethical-superstore-web,ethical-superstore,fashion/mens/accessories,Accessories,FALSE
ethical-superstore-web,ethical-superstore,fashion/jewellery/necklaces,Necklaces,FALSE
ethical-superstore-web,ethical-superstore,fashion/jewellery/earrings,Earrings,FALSE
ethical-superstore-web,ethical-superstore,fashion/jewellery/bracelets,Bracelets,FALSE
ethical-superstore-web,ethical-superstore,fashion/jewellery/rings,Rings,FALSE
ethical-superstore-web,ethical-superstore,fashion/footwear/mens,Mens,FALSE
ethical-superstore-web,ethical-superstore,fashion/footwear/womens,Womens,FALSE
ethical-superstore-web,ethical-superstore,fashion/footwear/slippers,Slippers,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/decorative-accessories,Decorative accessories,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/home-furnishings,Home furnishings,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/storage-baskets,Storage baskets,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/lighting,Lighting,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/home-fragrance,Home fragrance,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/books,Books,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/gifts,Gifts,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/living/cards-and-wrap,Cards and wrap,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/garden-and-outdoor/garden-accessories,Garden accessories,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/garden-and-outdoor/trees-plants-and-seeds,Trees plants and seeds,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/garden-and-outdoor/solar-garden-products,Solar garden products,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/garden-and-outdoor/wildlife,Wildlife,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/garden-and-outdoor/outdoor-furniture,Outdoor furniture,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/dining-and-entertaining,Dining and entertaining,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/cups-mugs-and-glasses,Cups mugs and glasses,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/cookware-and-food-prep,Cookware and food prep,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/eco-kettles,Eco kettles,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/kitchen-accessories,Kitchen accessories,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/picnicware-and-lunchboxes,Picnicware and lunchboxes,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/reusable-cups-and-bottles,Reusable cups and bottles,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/kitchen-and-dining/home-composting,Home composting,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/bedding-sets,Bedding sets,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/duvet-covers-and-pillowcases,Duvet covers and pillowcases,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/duvets-pillows-and-protectors,Duvets pillows and protectors,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/flat-sheets,Flat sheets,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/throws-and-blankets,Throws and blankets,FALSE
ethical-superstore-web,ethical-superstore,home-and-garden/bed-and-bath/bath-linen,Bath linen,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/bath-and-shower,Bath and shower,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/body-lotion,Body lotion,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/soap,Soap,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/hand-soap,Hand soap,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/hands-nails-and-feet,Hands nails and feet,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/sun-care-and-tanning,Sun care and tanning,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/bath-accessories,Bath accessories,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/bath-and-body/deodorant,Deodorant,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/skin-care/moisturiser,Moisturiser,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/skin-care/cleanser-toner-and-facewash,Cleanser toner and facewash,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/skin-care/lip-care,Lip care,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/skin-care/treatments,Treatments,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/hair-care/shampoo,Shampoo,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/hair-care/shampoo-bars,Shampoo bars,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/hair-care/conditioner,Conditioner,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/hair-care/conditioner-bars,Conditioner bars,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/hair-care/styling,Styling,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/make-up/face,Face,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/make-up/eyes,Eyes,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/make-up/tools,Tools,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/make-up/nail-polish,Nail polish,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/for-men/shaving,Shaving,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/for-men/skin-care,Skin care,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/for-men/bath-and-shower,Bath and shower,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/dental-care/toothbrushes,Toothbrushes,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/dental-care/toothpaste,Toothpaste,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/dental-care/mouthwash-and-dental-floss,Mouthwash and dental floss,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/essentials,Essentials,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/tampons,Tampons,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/menstrual-cups,Menstrual cups,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/pads-and-panty-liners,Pads and panty liners,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/reusable-sanitary-pads,Reusable sanitary pads,FALSE
ethical-superstore-web,ethical-superstore,beauty-health-and-wellbeing/menstrual-care/period-underwear,Period underwear,FALSE
