providerKey,category,subcategory1,subcategory2,location,description,active
ethical-superstore,groceries-and-everyday,deli-and-antipasti,pate-and-dips,/category/groceries-and-everyday/deli-and-antipasti/pate-and-dips/,Pate and dips,true
ethical-superstore,groceries-and-everyday,deli-and-antipasti,antipasti,/category/groceries-and-everyday/deli-and-antipasti/antipasti/,Antipasti,true
ethical-superstore,groceries-and-everyday,deli-and-antipasti,salad-dressings,/category/groceries-and-everyday/deli-and-antipasti/salad-dressings/,Salad dressings,true
ethical-superstore,groceries-and-everyday,fruit-nuts-and-seeds,fruit,/category/groceries-and-everyday/fruit-nuts-and-seeds/fruit/,Fruit,true
ethical-superstore,groceries-and-everyday,fruit-nuts-and-seeds,nuts,/category/groceries-and-everyday/fruit-nuts-and-seeds/nuts/,Nuts,true
ethical-superstore,groceries-and-everyday,fruit-nuts-and-seeds,seeds,/category/groceries-and-everyday/fruit-nuts-and-seeds/seeds/,Seeds,true
ethical-superstore,groceries-and-everyday,baking-ingredients,flour,/category/groceries-and-everyday/baking-ingredients/flour/,Flour,true
ethical-superstore,groceries-and-everyday,baking-ingredients,sugars-and-syrups,/category/groceries-and-everyday/baking-ingredients/sugars-and-syrups/,Sugars and syrups,true
ethical-superstore,groceries-and-everyday,baking-ingredients,baking-mixes,/category/groceries-and-everyday/baking-ingredients/baking-mixes/,Baking mixes,true
ethical-superstore,groceries-and-everyday,baking-ingredients,egg-replacers,/category/groceries-and-everyday/baking-ingredients/egg-replacers/,Egg replacers,true
ethical-superstore,groceries-and-everyday,drinks,coffee-beans,/category/groceries-and-everyday/drinks/coffee-beans/,Coffee beans,true
ethical-superstore,groceries-and-everyday,drinks,ground-coffee,/category/groceries-and-everyday/drinks/ground-coffee/,Ground coffee,true
ethical-superstore,groceries-and-everyday,drinks,instant-coffee,/category/groceries-and-everyday/drinks/instant-coffee/,Instant coffee,true
ethical-superstore,groceries-and-everyday,drinks,tea,/category/groceries-and-everyday/drinks/tea/,Tea,true
ethical-superstore,groceries-and-everyday,drinks,green-tea,/category/groceries-and-everyday/drinks/green-tea/,Green tea,true
ethical-superstore,groceries-and-everyday,drinks,herbal-tea,/category/groceries-and-everyday/drinks/herbal-tea/,Herbal tea,true
ethical-superstore,groceries-and-everyday,drinks,chocolate,/category/groceries-and-everyday/drinks/chocolate/,Chocolate,true
ethical-superstore,groceries-and-everyday,drinks,soft-drinks,/category/groceries-and-everyday/drinks/soft-drinks/,Soft drinks,true
ethical-superstore,groceries-and-everyday,drinks,juice,/category/groceries-and-everyday/drinks/juice/,Juice,true
ethical-superstore,groceries-and-everyday,drinks,milk-alternatives,/category/groceries-and-everyday/drinks/milk-alternatives/,Milk alternatives,true
ethical-superstore,groceries-and-everyday,cakes-biscuits-and-snacks,biscuits,/category/groceries-and-everyday/cakes-biscuits-and-snacks/biscuits/,Biscuits,true
ethical-superstore,groceries-and-everyday,cakes-biscuits-and-snacks,snack-bars,/category/groceries-and-everyday/cakes-biscuits-and-snacks/snack-bars/,Snack bars,true
ethical-superstore,groceries-and-everyday,cakes-biscuits-and-snacks,snacks,/category/groceries-and-everyday/cakes-biscuits-and-snacks/snacks/,Snacks,true
ethical-superstore,groceries-and-everyday,yoghurt,yoghurt,/category/groceries-and-everyday/yoghurt/yoghurt/,Yoghurt,true
ethical-superstore,groceries-and-everyday,yoghurt,custard-and-jelly,/category/groceries-and-everyday/yoghurt/custard-and-jelly/,Custard and jelly,true
ethical-superstore,groceries-and-everyday,yoghurt,cream,/category/groceries-and-everyday/yoghurt/cream/,Cream,true
ethical-superstore,groceries-and-everyday,chocolate,chocolate-bars,/category/groceries-and-everyday/chocolate/chocolate-bars/,Chocolate bars,true
ethical-superstore,groceries-and-everyday,chocolate,raw-chocolate,/category/groceries-and-everyday/chocolate/raw-chocolate/,Raw chocolate,true
ethical-superstore,groceries-and-everyday,chocolate,chocolate-gifts,/category/groceries-and-everyday/chocolate/chocolate-gifts/,Chocolate gifts,true
ethical-superstore,groceries-and-everyday,chocolate,sweets,/category/groceries-and-everyday/chocolate/sweets/,Sweets,true
ethical-superstore,groceries-and-everyday,free-from,vegan,/category/groceries-and-everyday/free-from/vegan/,Vegan,true
ethical-superstore,groceries-and-everyday,free-from,gluten-free,/category/groceries-and-everyday/free-from/gluten-free/,Gluten free,true
ethical-superstore,groceries-and-everyday,free-from,no-added-sugar,/category/groceries-and-everyday/free-from/no-added-sugar/,No added sugar,true
ethical-superstore,groceries-and-everyday,meat-alternatives,,/category/groceries-and-everyday/meat-alternatives/,Meat alternatives,true
ethical-superstore,groceries-and-everyday,ready-meals,,/category/groceries-and-everyday/ready-meals/,Ready meals,true
ethical-superstore,groceries-and-everyday,cheese,,/category/groceries-and-everyday/cheese/,Cheese,true
ethical-superstore,groceries-and-everyday,world-food,african,/category/groceries-and-everyday/world-food/african/,African,true
ethical-superstore,groceries-and-everyday,world-food,mexican,/category/groceries-and-everyday/world-food/mexican/,Mexican,true
ethical-superstore,groceries-and-everyday,world-food,mediterannean,/category/groceries-and-everyday/world-food/mediterannean/,Mediterannean,true
ethical-superstore,groceries-and-everyday,world-food,chinese-and-japanese,/category/groceries-and-everyday/world-food/chinese-and-japanese/,Chinese and japanese,true
ethical-superstore,groceries-and-everyday,world-food,indian,/category/groceries-and-everyday/world-food/indian/,Indian,true
ethical-superstore,groceries-and-everyday,world-food,thai-and-indonesian,/category/groceries-and-everyday/world-food/thai-and-indonesian/,Thai and indonesian,true
ethical-superstore,groceries-and-everyday,wine-beer-spirits,,/category/groceries-and-everyday/wine-beer-spirits/,Wine beer spirits,true
ethical-superstore,groceries-and-everyday,baby-food,,/category/groceries-and-everyday/baby-food/,Baby food,true
ethical-superstore,groceries-and-everyday,plastic-free.htm,,/category/groceries-and-everyday/plastic-free.htm,Groceries and Everyday - Plastic free,true
ethical-superstore,cleaning-and-household,dish-washing,washing-up-liquid,/category/cleaning-and-household/dish-washing/washing-up-liquid/,Washing up liquid,true
ethical-superstore,cleaning-and-household,dish-washing,dish-washer,/category/cleaning-and-household/dish-washing/dish-washer/,Dish washer,true
ethical-superstore,cleaning-and-household,cleaning,kitchen-cleaners,/category/cleaning-and-household/cleaning/kitchen-cleaners/,Kitchen cleaners,true
ethical-superstore,cleaning-and-household,cleaning,bathroom-cleaners,/category/cleaning-and-household/cleaning/bathroom-cleaners/,Bathroom cleaners,true
ethical-superstore,cleaning-and-household,cleaning,all-purpose-cleaners,/category/cleaning-and-household/cleaning/all-purpose-cleaners/,All purpose cleaners,true
ethical-superstore,cleaning-and-household,cleaning,glass-cleaners-and-polish,/category/cleaning-and-household/cleaning/glass-cleaners-and-polish/,Glass cleaners and polish,true
ethical-superstore,cleaning-and-household,cleaning,floor-cleaners,/category/cleaning-and-household/cleaning/floor-cleaners/,Floor cleaners,true
ethical-superstore,cleaning-and-household,laundry,laundry-liquid,/category/cleaning-and-household/laundry/laundry-liquid/,Laundry liquid,true
ethical-superstore,cleaning-and-household,laundry,washing-powder-and-tablets,/category/cleaning-and-household/laundry/washing-powder-and-tablets/,Washing powder and tablets,true
ethical-superstore,cleaning-and-household,laundry,fabric-conditioner,/category/cleaning-and-household/laundry/fabric-conditioner/,Fabric conditioner,true
ethical-superstore,cleaning-and-household,laundry,stain-removers-and-treatments,/category/cleaning-and-household/laundry/stain-removers-and-treatments/,Stain removers and treatments,true
ethical-superstore,cleaning-and-household,laundry,clothes-drying,/category/cleaning-and-household/laundry/clothes-drying/,Clothes drying,true
ethical-superstore,cleaning-and-household,cloths-and-mops,,/category/cleaning-and-household/cloths-and-mops/,Cloths and mops,true
ethical-superstore,cleaning-and-household,bin-bags-and-foils,,/category/cleaning-and-household/bin-bags-and-foils/,Bin bags and foils,true
ethical-superstore,cleaning-and-household,tissues-and-towels,,/category/cleaning-and-household/tissues-and-towels/,Tissues and towels,true
ethical-superstore,cleaning-and-household,diy,,/category/cleaning-and-household/diy/,Diy,true
ethical-superstore,cleaning-and-household,plastic-free.htm,,/category/cleaning-and-household/plastic-free.htm,Cleaning and Household - Plastic free,true
ethical-superstore,fashion,womens,blouses--tunics---camis,/category/fashion/womens/blouses--tunics---camis/,Blouses tunics camis,true
ethical-superstore,fashion,womens,knitwear,/category/fashion/womens/knitwear/,Knitwear,true
ethical-superstore,fashion,womens,coats---jackets,/category/fashion/womens/coats---jackets/,Coats jackets,true
ethical-superstore,fashion,womens,dresses,/category/fashion/womens/dresses/,Dresses,true
ethical-superstore,fashion,womens,accessories,/category/fashion/womens/accessories/,Accessories,true
ethical-superstore,fashion,womens,lingerie-and-nightwear,/category/fashion/womens/lingerie-and-nightwear/,Lingerie and nightwear,true
ethical-superstore,fashion,womens,lounge-and-leisurewear,/category/fashion/womens/lounge-and-leisurewear/,Lounge and leisurewear,true
ethical-superstore,fashion,womens,socks,/category/fashion/womens/socks/,Socks,true
ethical-superstore,fashion,womens,nightwear,/category/fashion/womens/nightwear/,Nightwear,true
ethical-superstore,fashion,womens,trousers,/category/fashion/womens/trousers/,Trousers,true
ethical-superstore,fashion,womens,graphic-t_shirt-and-jumpers,/category/fashion/womens/graphic-t_shirt-and-jumpers/,Graphic t_shirt and jumpers,true
ethical-superstore,fashion,womens,bags,/category/fashion/womens/bags/,Bags,true
ethical-superstore,fashion,mens,t_shirts,/category/fashion/mens/t_shirts/,T_shirts,true
ethical-superstore,fashion,mens,shirts,/category/fashion/mens/shirts/,Shirts,true
ethical-superstore,fashion,mens,graphic-tees,/category/fashion/mens/graphic-tees/,Graphic tees,true
ethical-superstore,fashion,mens,trousers-and-shorts,/category/fashion/mens/trousers-and-shorts/,Trousers and shorts,true
ethical-superstore,fashion,mens,jackets-and-jumpers,/category/fashion/mens/jackets-and-jumpers/,Jackets and jumpers,true
ethical-superstore,fashion,mens,underwear,/category/fashion/mens/underwear/,Underwear,true
ethical-superstore,fashion,mens,socks,/category/fashion/mens/socks/,Socks,true
ethical-superstore,fashion,mens,accessories,/category/fashion/mens/accessories/,Accessories,true
